,menu item,restaurant location,date
0,Egg & Onion Prata (2pcs) ,Aliff Rojak Maxwell,2024-09-30
1,Vegetables and Brown Rice w/ Vinaigrette Dressing [VEG] ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
2,Honey Roasted Chicken Breast and Soba w/ Roasted Sesame Dressing ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
3,Honey Roasted Chicken Breast and Brown Rice w/ Roasted Sesame Dressing ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
4,Black Pepper Drumstick and Soba w/ Roasted Sesame Dressing ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
5,Black Pepper Chicken Breast Salad w/ Roasted Sesame Dressing ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
6,Honey Roasted Drumstick Salad w/ Roasted Sesame Dressing ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
7,Black Pepper Drumstick Salad w/ Roasted Sesame Dressing ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
8,Caesar Salad w/ Vinaigrette Dressing [VEG] ,SHIMMER #B1-07 - One Raffles Place,2024-09-30
9,Drumstick Chicken Rice (Steamed) ,Ah Tai Hainanese Chicken Rice-Maxwell,2024-09-30
10,Roasted Chicken Rice  ,Ah Tai Hainanese Chicken Rice-Maxwell,2024-09-30
11,Fried Kway Teow (M) ,Opeh Leaf Delights -Maxwell,2024-09-30
12,Mixed Seafood Horfun ,Somerset Delicious-Maxwell,2024-09-30
13,Fried Fish Meat Soup with Rice ,Jin Hua Sliced Fish Bee Hoon (01-77,2024-09-30
14,Fried Fish Meat Bee Hoon ,Jin Hua Sliced Fish Bee Hoon (01-77,2024-09-30
15,Nasi Lemak Chicken ,The Green Leaf-Maxwell,2024-09-30
16,Mala Xiang Guo with Rice for 1 pax ,Din Din Red Mala Xiang Guo-Maxwell,2024-09-30
17,Chicken Shawarwa Saffron Rice ,Dubai Shawarma -Maxwell,2024-09-30
18,Pineapple Fried Rice ,Sisaket Thai Food-Maxwell,2024-09-30
19,Black Olive Fried Rice ,Sisaket Thai Food-Maxwell,2024-09-30
20,Thai Fried Vermicelli w/ Prawn ,Sisaket Thai Food-Maxwell,2024-09-30
21,Basil Chicken with Rice ,Sisaket Thai Food-Maxwell,2024-09-30
22,Veg Chapati Set ,North South Maxwell,2024-09-30
23,Nasi Padang Ayam ,Green Leaf - Maxwell,2024-09-30
24,Veg Briyani Set Meal ,North & South Authentic Indian Cuisine (01-25,2024-09-30
25,Vegetarian Chicken Rice ,Healthy Vegetarian #01-44 - Amoy FC,2024-10-01
26,Ban Mee Chilli  ,Grandma Ban Mee (01-07,2024-10-01
27,Curry Chicken Noodle ,Wonder Food-Amoy,2024-10-01
28,Dumpling Noodle ,Wonder Food-Amoy,2024-10-01
29,Soy Sauce Chicken Noodle ,Wonder Food-Amoy,2024-10-01
30,Tempura Pollock Penyat ,Rayyan's Waroeng Upnormal-Amoy,2024-10-01
31,Honey Glazed Char Grilled Boneless Thigh Penyat ,Rayyan's Waroeng Upnormal-Amoy,2024-10-01
32,Breaded Chix Cutlet Penyat ,Rayyan's Waroeng Upnormal-Amoy,2024-10-01
33,1/4 Cut Fried Chix Penyat ,Rayyan's Waroeng Upnormal-Amoy,2024-10-01
34,Black Pepper Salmon Bowl ,Big Bowl Project-Amoy,2024-10-01
35,Tom Yam Salmon Bowl ,Big Bowl Project - Amoy,2024-10-01
36,Teriyaki Chicken Salad Bowl ,Supergreen,2024-10-01
37,Salad Bowl (Veg) ,Supergreen,2024-10-01
38,Smokey Duckey Bowl ,Supergreen,2024-10-01
39,Chicken Salad Bowl ,Supergreen,2024-10-01
40,Salad Bowl (Vegan) ,Supergreen,2024-10-01
41,Smokey Duck Bowl ,Supergreen,2024-10-01
42,Vegetarian Sin Chew Bee Hoon ,Healthy Vegetarian #01-44 - Amoy FC,2024-10-01
43,Pineapple Fried Rice ,Healthy Vegetarian #01-44 - Amoy FC,2024-10-01
44,Vegetarian Hokkien Mee ,Healthy Vegetarian #01-44 - Amoy FC,2024-10-01
45,Salted Fish w Chicken Rice ,Hong Kong Style Stewed Soup and Steamed Rice #01-34 - Amoy FC,2024-10-01
46,Mui Choy w Chicken Rice ,Hong Kong Style Stewed Soup and Steamed Rice #01-34 - Amoy FC,2024-10-01
47,Salted Egg Yolk Minced Meat Rice ,Hong Kong Style Stewed Soup and Steamed Rice #01-34 - Amoy FC,2024-10-01
